onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
49-9096.00,Riggers,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.",,engineering and technology (3.19) | mathematics (3.19) | computers and electronics (2.82) | telecommunications (1.84),autodesk autocad | microsoft excel | autodesk maya
49-9097.00,Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.",,engineering and technology (3.09) | telecommunications (3.09) | computers and electronics (3.05) | mathematics (2.80),microsoft excel | maintenance management software | supervisory control and data acquisition scada software | web browser software
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.",,engineering and technology (3.36) | mathematics (3.34) | computers and electronics (3.13) | telecommunications (2.22),microsoft excel | microsoft windows | sap software | atlas construction business forms | building automation software | computer aided design cad software | data logging software | facility energy management software | hvac tools software | spreadsheet software | word processing software
49-9099.00,"Installation, Maintenance, and Repair Workers, All Other","All installation, maintenance, and repair workers not listed separately.",,,
49-9099.01,Geothermal Technicians,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps.",,mathematics (3.28) | telecommunications (3.28) | computers and electronics (3.15) | engineering and technology (3.06),autodesk autocad | microsoft excel | sap software | climatemaster geodesigner | distributed control system dcs | email software | geographic information system gis systems | geothermal properties measurement tool | thermal dynamics ground loop design gld | waterfurnace international ground loop design premier
51-1011.00,First-Line Supervisors of Production and Operating Workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders.",,computers and electronics (3.24) | mathematics (3.24) | engineering and technology (3.08) | telecommunications (1.58),microsoft excel | sap software | apple safari | autodesk autocad | extensible markup language xml | kronos workforce timekeeper | microsoft access | microsoft project | microsoft sharepoint | mozilla firefox | apple iwork pages | aptean made2manage | bowen and groves m1 erp | capterra enterprise resource planning | computer aided design cad software
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.",,mathematics (3.48) | computers and electronics (3.14) | engineering and technology (2.96) | telecommunications (1.97),microsoft excel | sap software | computer aided design cad software | electrical power management system software | enterprise resource planning erp software | spreadsheet software | word processing software
51-2021.00,"Coil Winders, Tapers, and Finishers","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.",,mathematics (3.62) | computers and electronics (3.10) | engineering and technology (2.77) | telecommunications (1.49),blueprint display software | electronic systems of wisconsin motor test system software | machine control specialists coilpro
51-2022.00,Electrical and Electronic Equipment Assemblers,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.",,mathematics (2.28) | computers and electronics (2.24) | engineering and technology (1.79) | telecommunications (1.25),microsoft excel | sap software | calibration software | national instruments labview | production control software | rasmussen software anzio | sage 100 erp | terminal emulation software
51-2023.00,Electromechanical Equipment Assemblers,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.",,computers and electronics (3.08) | engineering and technology (2.87) | mathematics (2.56) | telecommunications (1.84),autodesk autocad | microsoft excel | sap software | blueprint display software | timekeeping software
51-2031.00,Engine and Other Machine Assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.",,engineering and technology (2.99) | mathematics (2.89) | computers and electronics (2.56) | telecommunications (1.25),dassault systemes solidworks | microsoft excel | sap software | computer aided design and drafting cadd software | spreadsheet software | word processing software
51-2041.00,Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products.",,mathematics (3.39) | engineering and technology (2.59) | computers and electronics (2.26) | telecommunications (1.28),microsoft excel | computer aided design and drafting cadd software | dassault systemes catia | enterprise resource planning erp software | spreadsheet software | tekla software | three-dimensional modeling software
51-2051.00,Fiberglass Laminators and Fabricators,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.",,engineering and technology (2.79) | mathematics (2.77) | computers and electronics (2.23) | telecommunications (1.59),microsoft excel | enterprise resource planning erp software | spreadsheet software | word processing software
51-2061.00,Timing Device Assemblers and Adjusters,"Perform precision assembling or adjusting, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.",,mathematics (3.02) | engineering and technology (2.72) | computers and electronics (2.29) | telecommunications (1.31),at your service software at your service repair | inventory control software | maplesoft maple | retail sales software | web browser software
51-2092.00,Team Assemblers,"Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.",,computers and electronics (3.35) | engineering and technology (3.32) | mathematics (3.09) | telecommunications (2.20),autodesk autocad | microsoft excel | sap software | computer aided design cad software | enterprise resource planning erp software | spreadsheet software | word processing software
51-2099.00,"Assemblers and Fabricators, All Other",All assemblers and fabricators not listed separately.,,,
51-3011.00,Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.",,mathematics (3.09) | computers and electronics (2.51) | engineering and technology (2.06) | telecommunications (1.56),microsoft excel | adp enterprise etime | afcom datasafe computer services flexibake | at your service software costguard | axxya systems nutritionist pro | barrington software cookenpro | culinary software services cheftec | egs calcmenu | email software | enggist and grandjean egs f and b control | ipro | legacyusa bakesmart | masters software cakeboss | sage 100 erp | softcafe menupro
51-3021.00,Butchers and Meat Cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.",,mathematics (2.46) | computers and electronics (1.89) | engineering and technology (1.55) | telecommunications (1.32),microsoft excel | financial accounting software | web browser software
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.",,mathematics (3.56) | computers and electronics (2.58) | engineering and technology (2.44) | telecommunications (2.20),microsoft excel | web browser software | meat inventory software | sales software
51-3023.00,Slaughterers and Meat Packers,"Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.",,mathematics (2.69) | engineering and technology (2.00) | computers and electronics (1.68) | telecommunications (1.16),microsoft excel | accountmate software accountmate | aginfolink meat inventory tracking system mits | integrated management systems food connex cloud | operating system software | rfid software | second foundation navimeat | traceability software
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.",,mathematics (2.30) | engineering and technology (1.87) | computers and electronics (1.81) | telecommunications (1.40),microsoft excel | email software
51-3092.00,Food Batchmakers,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.,,mathematics (3.12) | computers and electronics (3.09) | engineering and technology (2.61) | telecommunications (1.83),edible software | plex systems plex manufacturing cloud
51-3093.00,Food Cooking Machine Operators and Tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.",,computers and electronics (2.64) | mathematics (2.19) | engineering and technology (1.62) | telecommunications (1.34),database software
51-3099.00,"Food Processing Workers, All Other",All food processing workers not listed separately.,,,
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.",,mathematics (3.50) | computers and electronics (2.55) | engineering and technology (2.20) | telecommunications (1.43),microsoft excel | sap software | enterprise application integration eai software | operational databases
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.",,mathematics (3.64) | engineering and technology (3.24) | computers and electronics (2.90) | telecommunications (1.56),email software | inventory tracking software | machine control software
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.",,engineering and technology (2.60) | mathematics (2.59) | computers and electronics (2.51) | telecommunications (1.79),email software | web browser software
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.",,mathematics (2.40) | engineering and technology (2.39) | computers and electronics (2.01) | telecommunications (1.03),autodesk autocad | microsoft excel | sap software | automated inventory software | computerized numerical control cnc software | operational databases | striker systems ss-punch
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.",,mathematics (4.40) | engineering and technology (3.52) | computers and electronics (2.96) | telecommunications (1.58),microsoft excel | sap software | automated inventory software | computerized numerical control cnc software
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.",,mathematics (2.97) | computers and electronics (2.53) | engineering and technology (2.11) | telecommunications (1.16),autodesk autocad | microsoft excel | microsoft windows | sap software | manufacturing reporting system | mazak mazatrol smart cnc
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.",,engineering and technology (3.60) | mathematics (3.15) | computers and electronics (2.83) | telecommunications (1.60),autodesk hsmworks | computer numerical control cnc editor software | g-code | inventory tracking software | m-code
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.",,mathematics (3.48) | computers and electronics (3.18) | engineering and technology (2.91) | telecommunications (1.73),autodesk autocad | extensible markup language xml | microsoft excel | editcnc | g-code | kentech machine shop software | m-code | mastercam computer-aided design and manufacturing software | siemens solid edge | smartcamcnc smartcam | swivel software | vero software alphacam | vero software edgecam
51-4041.00,Machinists,"Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",,mathematics (3.47) | engineering and technology (2.70) | computers and electronics (2.37) | telecommunications (1.43),autodesk autocad | dassault systemes solidworks | microsoft excel | sap software | g-code | mastercam computer-aided design and manufacturing software | 3d printing software | armchair machinist software | autodesk fusion 360 | autodesk hsmworks | cnc mastercam | computer aided design cad software | computer aided manufacturing cam software | dassault systemes catia | editcnc
51-4051.00,Metal-Refining Furnace Operators and Tenders,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.",,mathematics (2.74) | engineering and technology (2.60) | computers and electronics (2.29) | telecommunications (2.09),microsoft excel | process control software | process safety management software | production tracking system software
51-4052.00,"Pourers and Casters, Metal",Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.,,mathematics (2.16) | engineering and technology (1.75) | computers and electronics (1.67) | telecommunications (1.21),microsoft excel | husky injection molding systems shotscope nx
51-4061.00,"Model Makers, Metal and Plastic","Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers.",,mathematics (4.03) | engineering and technology (3.76) | computers and electronics (2.94) | telecommunications (1.20),microsoft excel | cnc software mastercam | ptc creo parametric
51-4062.00,"Patternmakers, Metal and Plastic","Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",,mathematics (3.35) | engineering and technology (3.07) | computers and electronics (2.33) | telecommunications (1.21),autodesk autocad | microsoft excel | 3d systems geomagic design x | delcam powermill | mastercam computer-aided design and manufacturing software
51-4071.00,Foundry Mold and Coremakers,Make or form wax or sand cores or molds used in the production of metal castings in foundries.,,engineering and technology (3.02) | mathematics (2.68) | computers and electronics (2.10) | telecommunications (2.00),autodesk autocad | dassault systemes solidworks | cnc software mastercam | computer aided manufacturing cam software | inventory tracking software | machine control software | ptc creo parametric
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.",,mathematics (3.09) | computers and electronics (2.37) | engineering and technology (2.37) | telecommunications (1.29),microsoft excel | sap software | fanuc robotics irvision | hotflo die-shot monitor | intera systems hawk-i | robotware diecast | visi-trak true-trak 20 / 20
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend more than one type of cutting or forming machine tool or robot.",,mathematics (3.60) | engineering and technology (2.69) | computers and electronics (2.51) | telecommunications (1.46),autodesk autocad | microsoft excel | microsoft windows | sap software | email software | enterprise resource planning erp software | spreadsheet software | word processing software
51-4111.00,Tool and Die Makers,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools.",,mathematics (3.52) | engineering and technology (2.93) | computers and electronics (2.62) | telecommunications (1.43),autodesk autocad | bentley microstation | dassault systemes solidworks | microsoft excel | microsoft project | sap software | 1cadcam unigraphics | autodesk inventor | cimatron cimatrone master | cnc mastercam | dassault systemes catia | data m software copra metalbender | dp technology esprit | jobpack mes scheduler | kubotek usa keycreator
51-4121.00,"Welders, Cutters, Solderers, and Brazers","Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.",,mathematics (2.94) | engineering and technology (2.58) | computers and electronics (1.97) | telecommunications (1.19),microsoft excel | microsoft windows | oracle database | enterprise resource planning erp software | ez pipe | fred s tip cartridge picker | ibm notes | omnifleet equipment maintenance management | recordkeeping software | scientific software group filter drain fd | value analysis
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines.",,engineering and technology (2.69) | mathematics (2.60) | computers and electronics (2.18) | telecommunications (1.31),linux | microsoft excel | microsoft windows | sap software | email software | enterprise resource planning erp software | spreadsheet software | tool center point tcp setting software | word processing software
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects.",,mathematics (3.25) | engineering and technology (2.56) | computers and electronics (2.34) | telecommunications (1.33),microsoft excel | sap software | enterprise resource planning erp software
51-4192.00,"Layout Workers, Metal and Plastic","Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters.",,mathematics (4.07) | engineering and technology (3.31) | computers and electronics (3.08) | telecommunications (1.69),autodesk autocad | microsoft excel | computer aided design cad software | hexagon metrology pc-dmis | inventory tracking software | optical gaging products measure-x
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution.",,mathematics (3.50) | engineering and technology (3.27) | computers and electronics (2.31) | telecommunications (2.07),autodesk autocad | microsoft excel | computer aided design cad software | hazardous materials management hms software | oracle advanced procurement
51-4194.00,"Tool Grinders, Filers, and Sharpeners","Perform precision smoothing, sharpening, polishing, or grinding of metal objects.",,mathematics (3.49) | engineering and technology (2.47) | computers and electronics (2.17) | telecommunications (1.34),dassault systemes solidworks | microsoft excel | anca toolroom | ibm lotus notes | vero software edgecam | zoller
51-4199.00,"Metal Workers and Plastic Workers, All Other",All metal workers and plastic workers not listed separately.,,,
51-5111.00,Prepress Technicians and Workers,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.,,computers and electronics (4.00) | mathematics (3.36) | engineering and technology (2.09) | telecommunications (1.71),adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | microsoft excel | adobe acrobat | adobe director | adobe framemaker | adobe freehand mx | adobe lifecycle enterprise suite | adobe pagemaker | corel coreldraw graphics suite | corel painter | esko artpro | file transfer protocol ftp software
51-5112.00,Printing Press Operators,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.",,computers and electronics (2.75) | mathematics (2.74) | engineering and technology (1.88) | telecommunications (1.07),adobe acrobat | adobe illustrator | adobe indesign | adobe photoshop | microsoft excel | sap software | aabach graphic systems digra | adobe lifecycle production print es3 | adobe pagemaker | corel coreldraw graphics suite | electronics for imaging efi monarch | electronics for imaging efi pace | email software | enfocus pitstop pro | graphics software
51-5113.00,Print Binding and Finishing Workers,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,,mathematics (2.90) | computers and electronics (2.38) | engineering and technology (1.76) | telecommunications (1.42),microsoft excel | email software | houchen bindery library automated retrieval system lars | label printing software | microsoft publisher | trade bindery software bindery estimating system | trade bindery software bindery management system | web browser software
51-6011.00,Laundry and Dry-Cleaning Workers,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles.",,mathematics (2.81) | computers and electronics (2.32) | engineering and technology (1.98) | telecommunications (1.69),microsoft excel | microsoft windows | cents | curbside laundries wash and fold pos software | email software | property management system pms software | sales processing software | wash-dry-fold pos | web browser software
51-6021.00,"Pressers, Textile, Garment, and Related Materials",Press or shape articles by hand or machine.,,mathematics (2.39) | computers and electronics (2.08) | engineering and technology (1.76) | telecommunications (1.21),microsoft excel | email software
51-6031.00,Sewing Machine Operators,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products.",,mathematics (2.28) | computers and electronics (1.61) | telecommunications (1.23) | engineering and technology (1.21),microsoft excel | email software | web browser software
51-6041.00,Shoe and Leather Workers and Repairers,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools.",,engineering and technology (2.01) | mathematics (1.62) | telecommunications (1.32) | computers and electronics (1.30),microsoft excel | bookkeeping software | financial accounting software | inventory tracking software | sale processing software
51-6042.00,Shoe Machine Operators and Tenders,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.",,engineering and technology (2.38) | mathematics (2.12) | computers and electronics (1.68) | telecommunications (1.63),adobe acrobat | microsoft excel | inventory tracking software | production control software
51-6051.00,"Sewers, Hand","Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.",,mathematics (2.29) | computers and electronics (1.70) | telecommunications (1.46) | engineering and technology (1.20),adobe illustrator | adobe photoshop | microsoft excel | adobe freehand mx | corel coreldraw graphics suite | drawing software | embroidery design software | graphics digitizing software | template design software
51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Design, make, alter, repair, or fit garments.",,mathematics (2.95) | engineering and technology (1.89) | computers and electronics (1.73) | telecommunications (1.63),google docs | microsoft excel | arbelsoft tailormax | bookkeeping software | garment design software | inventory tracking software | tailor master
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers.",,mathematics (2.36) | computers and electronics (1.92) | engineering and technology (1.58) | telecommunications (1.35),linux | microsoft excel | sap software | hewlett-packard hp openvms
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut textiles.",,mathematics (2.87) | computers and electronics (2.07) | engineering and technology (2.02) | telecommunications (1.16),autodesk autocad | microsoft excel | microsoft windows | sap software | haisen software system
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that knit, loop, weave, or draw in textiles.",,computers and electronics (2.47) | mathematics (2.05) | engineering and technology (1.87) | telecommunications (1.41),microsoft excel | computer aided manufacturing cam software
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators.",,mathematics (2.68) | computers and electronics (2.36) | engineering and technology (2.31) | telecommunications (1.08),microsoft excel | computer aided manufacturing cam software
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.",,mathematics (3.12) | computers and electronics (2.61) | engineering and technology (2.41) | telecommunications (2.04),microsoft excel | sap software | apache hadoop yarn | camstar manufacturing execution system mes | operational databases | statistical process control spc software
51-6092.00,Fabric and Apparel Patternmakers,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.,,mathematics (3.97) | engineering and technology (2.90) | computers and electronics (2.89) | telecommunications (1.72),adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | autodesk autocad | microsoft excel | gerber technology accumark | patternmaker
51-6093.00,Upholsterers,"Make, repair, or replace upholstery for household furniture or transportation vehicles.",,mathematics (2.64) | engineering and technology (1.75) | telecommunications (1.61) | computers and electronics (1.57),autodesk autocad | intuit quickbooks | microsoft excel | microsoft windows | enterprise resource planning erp software | libreoffice draw
51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","All textile, apparel, and furnishings workers not listed separately.",,,
51-7011.00,Cabinetmakers and Bench Carpenters,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.",,mathematics (4.21) | engineering and technology (3.05) | computers and electronics (2.05) | telecommunications (1.23),autodesk autocad | microsoft excel | microsoft windows | computer aided design cad software | computer estimation software | computerized maintenance management system cmms
51-7021.00,Furniture Finishers,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",,mathematics (2.58) | engineering and technology (1.92) | computers and electronics (1.55) | telecommunications (1.40),intuit quickbooks | dupont colornet | dupont spies hecker wizard | web browser software
51-7031.00,"Model Makers, Wood",Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.,,engineering and technology (3.43) | mathematics (3.43) | computers and electronics (2.50) | telecommunications (1.50),microsoft excel | dassault systemes catia | siemens nx
51-7032.00,"Patternmakers, Wood","Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.",,mathematics (4.02) | engineering and technology (3.58) | computers and electronics (2.47) | telecommunications (1.89),autodesk autocad | microsoft excel | 3d systems geomagic design x | computer aided design cad software | delcam powermill | mastercam computer-aided design and manufacturing software
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers.",,mathematics (2.59) | engineering and technology (2.08) | computers and electronics (1.77) | telecommunications (1.67),adobe acrobat | microsoft excel | automated inventory software | computerized numerical control cnc software
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate computer numerically controlled (CNC) equipment.",,mathematics (2.92) | engineering and technology (1.90) | computers and electronics (1.78) | telecommunications (1.15),adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | apple macos | autodesk autocad | dassault systemes solidworks | microsoft excel | microsoft windows | oracle java | as / 400 database | computer aided design and drafting cadd software | computer aided manufacturing cam software | computerized numerical control cnc software
51-7099.00,"Woodworkers, All Other",All woodworkers not listed separately.,,,
51-8011.00,Nuclear Power Reactor Operators,"Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.",,mathematics (3.58) | engineering and technology (3.54) | computers and electronics (2.85) | telecommunications (1.94),microsoft access | microsoft azure software | microsoft excel | microsoft power automate | microsoft power bi | microsoft sharepoint | structured query language sql | outage management system oms | data logging software | plant information data entry software
51-8012.00,Power Distributors and Dispatchers,"Coordinate, regulate, or distribute electricity or steam.",,mathematics (3.53) | computers and electronics (3.48) | telecommunications (3.47) | engineering and technology (3.45),microsoft access | microsoft excel | sap software | abb microscada pro dms | abb microscada pro sys | abb psguard | catapult software ipower scada | distribution automation system software | distribution management system dms | energy management system ems | geographic information system gis software | milsoft disspatch | osi monarch / sgp | outage management system oms | radius netman
51-8013.00,Power Plant Operators,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.",,engineering and technology (3.00) | telecommunications (2.60) | computers and electronics (2.44) | mathematics (2.34),microsoft excel | microsoft access | sap software | computerized maintenance management system cmms | continuous emissions monitoring systems cems | distributed control system dcs | email software | emerson ovation | gas field monitoring system software | general electric mark vi distributed control system dcs | general electric mark vi integrated control system ics | interlock shutdown systems | landfill gas analysis software | landtec system software lfg pro | operating system software
51-8013.03,Biomass Plant Technicians,Control and monitor biomass plant activities and perform maintenance as needed.,,engineering and technology (3.13) | computers and electronics (3.03) | mathematics (2.87) | telecommunications (2.25),microsoft excel | distributed control system dcs | energy analysis software | inventory control software | national instruments labview
51-8013.04,Hydroelectric Plant Technicians,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.",,mathematics (4.29) | engineering and technology (4.11) | computers and electronics (3.89) | telecommunications (3.32),microsoft excel | computerized maintenance management system cmms | distributed control system dcs | ibm lotus notes | supervisory control and data acquisition scada software | web browser software
51-8021.00,Stationary Engineers and Boiler Operators,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.",,engineering and technology (3.16) | computers and electronics (3.08) | mathematics (3.07) | telecommunications (2.27),microsoft active server pages asp | microsoft excel | sap software | building management system software | computerized maintenance management system cmms | database software | email software | graphics software | operating system software | operational data store ods software | spreadsheet software | statistical software | web browser software | word processing software
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",,mathematics (3.42) | computers and electronics (3.21) | engineering and technology (3.17) | telecommunications (2.67),microsoft excel | compliance software | data logging software | database software | geographic information system gis systems | human machine interface hmi software | material safety data sheet msds software | operating system software | operational data store ods software | records management software | supervisory control and data acquisition scada software | timekeeping software | wastewater expert control systems | word processing software
51-8091.00,Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.,,mathematics (2.86) | computers and electronics (2.54) | engineering and technology (2.30) | telecommunications (1.30),microsoft excel | alarm management system software | coordinated incident management system cims software | distributed control system dcs | interlock shutdown systems
