onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.","engineering_data_platform,machine_learning",computers and electronics (4.91) | telecommunications (3.95) | engineering and technology (3.77) | mathematics (2.91),amazon web services aws cloudformation | amazon web services aws software | ansible software | atlassian jira | bash | c | c++ | docker | git | github | go | ibm terraform | javascript | jenkins ci | kubernetes
15-1299.09,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",,computers and electronics (4.19) | engineering and technology (3.58) | telecommunications (3.19) | mathematics (3.14),amazon web services aws software | atlassian confluence | atlassian jira | microsoft azure software | microsoft excel | sap software | structured query language sql | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | ajax | amazon dynamodb | amazon elastic compute cloud ec2
15-2011.00,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",,mathematics (4.93) | computers and electronics (3.96) | engineering and technology (1.75) | telecommunications (1.71),microsoft excel | microsoft power bi | microsoft visual basic for applications vba | python | r | sas | structured query language sql | tableau | c++ | ibm spss statistics | microsoft access | microsoft project | microsoft sql server | microsoft visio | microsoft visual basic
15-2021.00,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",data_science,mathematics (4.85) | computers and electronics (3.50) | engineering and technology (2.90) | telecommunications (1.55),atlassian jira | c | c# | c++ | microsoft excel | python | the mathworks matlab | adobe photoshop | apple macos | bash | cascading style sheets css | extensible markup language xml | hypertext markup language html | ibm spss statistics | javascript
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.","analytics,data_science",mathematics (4.71) | computers and electronics (4.10) | engineering and technology (3.95) | telecommunications (1.71),microsoft excel | microsoft power bi | python | salesforce software | structured query language sql | tableau | amazon redshift | apache hadoop | apache hive | apple macos | bash | c | c++ | esri arcgis software | extensible markup language xml
15-2041.00,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.","analytics,data_science,engineering_data_platform",mathematics (4.67) | computers and electronics (4.19) | engineering and technology (2.33) | telecommunications (1.57),amazon web services aws software | ibm spss statistics | microsoft access | microsoft excel | python | r | sas | structured query language sql | tableau | amazon redshift | apache hadoop | apache spark | c++ | extensible markup language xml | ibm db2
15-2041.01,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,data_science,mathematics (4.67) | computers and electronics (3.70) | engineering and technology (1.96) | telecommunications (1.71),ibm spss statistics | microsoft excel | python | r | sap software | sas | structured query language sql | bash | c# | c++ | extensible markup language xml | git | javascript | linux | microsoft access
15-2051.00,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.","analytics,data_science,engineering_data_platform,machine_learning",,amazon web services aws software | apache hadoop | apache spark | c++ | git | microsoft azure software | microsoft excel | microsoft power bi | oracle java | python | pytorch | r | sas | snowflake | structured query language sql
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,analytics,computers and electronics (4.29) | mathematics (3.82) | engineering and technology (2.36) | telecommunications (1.55),amazon web services aws software | microsoft azure software | microsoft excel | microsoft power bi | oracle cloud software | python | r | sap software | sas | structured query language sql | tableau | adobe acrobat | ajax | alteryx software | amazon dynamodb
15-2051.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",analytics,computers and electronics (3.95) | mathematics (3.20) | engineering and technology (2.20) | telecommunications (1.90),epic systems | microsoft excel | microsoft visio | sas | structured query language sql | c# | c++ | extensible markup language xml | go | ibm spss statistics | meditech software | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server
