import time: self [us] | cumulative | imported package
import time:        15 |         73 |                 python_multipart.multipart
import time:        49 |         49 |                   multipart
import time:        12 |         60 |                 multipart.multipart
import time:       559 |       3229 |               starlette.requests
import time:       594 |       4048 |             fastapi.security.api_key
import time:       219 |        219 |               fastapi.security.utils
import time:      1045 |       1263 |             fastapi.security.http
import time:       364 |        364 |               fastapi.param_functions
import time:       446 |        809 |             fastapi.security.oauth2
import time:       322 |        322 |             fastapi.security.open_id_connect_url
import time:       371 |       6810 |           fastapi.security
import time:        16 |       6826 |         fastapi.security.base
import time:      1081 |       8486 |       fastapi.dependencies.models
import time:       282 |        282 |           starlette.background
import time:       242 |        524 |         fastapi.background
import time:      1697 |       1697 |         fastapi.concurrency
import time:       311 |        311 |         fastapi.utils
import time:      1615 |       1615 |             _hashlib
import time:       656 |        656 |             _blake2
import time:       191 |       2460 |           hashlib
import time:        58 |         58 |             _winapi
import time:        45 |         45 |             winreg
import time:       680 |        783 |           mimetypes
import time:       701 |        701 |               _hmac
import time:       308 |       1008 |             hmac
import time:       409 |       1417 |           secrets
import time:       516 |       5174 |         starlette.responses
import time:       440 |        440 |         starlette.websockets
import time:      1030 |       9174 |       fastapi.dependencies.utils
import time:       157 |        157 |           colorsys
import time:       895 |       1052 |         pydantic.color
import time:       393 |       1444 |       fastapi.encoders
import time:      1217 |       1217 |       fastapi.sse
import time:       281 |        281 |         starlette._exception_handler
import time:       380 |        380 |         starlette.convertors
import time:       355 |        355 |         starlette.middleware
import time:       781 |       1795 |       starlette.routing
import time:      1148 |     226144 |     fastapi.routing
import time:       239 |        239 |       fastapi.websockets
import time:       146 |        384 |     fastapi.exception_handlers
import time:       126 |        126 |       fastapi.middleware
import time:       205 |        331 |     fastapi.middleware.asyncexitstack
import time:       362 |        362 |     fastapi.openapi.docs
import time:       348 |        348 |           email.feedparser
import time:       130 |        478 |         email.parser
import time:       552 |       1030 |       http.client
import time:        61 |         61 |         ujson
import time:        45 |         45 |         orjson
import time:       471 |        576 |       fastapi.responses
import time:       404 |       2009 |     fastapi.openapi.utils
import time:       420 |        420 |       starlette.middleware.base
import time:       692 |        692 |           html.entities
import time:       231 |        923 |         html
import time:       563 |       1485 |       starlette.middleware.errors
import time:       423 |        423 |       starlette.middleware.exceptions
import time:       409 |       2736 |     starlette.applications
import time:       973 |     235432 |   fastapi.applications
import time:       312 |        312 |   fastapi.requests
import time:       553 |     237691 | fastapi
